Rk,Player,Nation,Pos,Squad,Age,MP,Min,Starts,Compl,Subs,unSub
558,Nikolai Zabolotny,ru RUS,GK,Sochi,33,19,1710.0,19,19,0,8
559,Artur Zagorodnikov,ru RUS,DF,Samara,19,0,,0,0,0,1
560,Leon Zaidenzal,ru RUS,DF,Dynamo Mosc,19,0,,0,0,0,3
561,Kirill Zaika,ru RUS,"MF,DF",Sochi,30,27,1610.0,18,5,9,2
562,Baktiyor Zainutdinov,kz KAZ,MF,CSKA Moscow,25,3,214.0,3,2,0,0
563,Arsen Zakharyan,ru RUS,MF,Dynamo Mosc,20,3,197.0,3,1,0,0
564,Ivan Zazvonkin,ru RUS,MF,Dynamo Mosc,19,0,,0,0,0,7
565,Saša Zdjelar,rs SRB,"MF,DF",CSKA Moscow,28,28,2475.0,27,27,1,0
566,Yuri Zheleznov,ru RUS,MF,Ural,20,2,67.0,1,0,1,4
567,Rifat Zhemaletdinov,ru RUS,MF,Loko Moscow,26,20,526.0,4,0,16,5
568,Nikita Zheymo,ru RUS,GK,FC Baltika Kaliningrad,22,0,,0,0,0,1
569,Ilya Zhigulyov,ru RUS,MF,Nizhny Novgorod,27,13,246.0,0,0,13,5
570,Dmitri Zhivoglyadov,ru RUS,DF,Nizhny Novgorod,29,15,957.0,11,6,4,5
571,Anton Zinkovskiy,ru RUS,"MF,FW",Spartak Moscow,27,25,1363.0,14,5,11,5
572,Roman Zobnin,ru RUS,"MF,DF",Spartak Moscow,29,22,1473.0,18,8,4,3
573,Daniil Zorin,ru RUS,FW,Spartak Moscow,19,0,,0,0,0,3
574,Aleksandr Zotov,ru RUS,MF,Rubin Kazan,32,26,1785.0,19,11,7,1
575,Georgi Zotov,ru RUS,"MF,DF",Samara,33,16,260.0,2,0,14,9
576,Ilya Zubenko,ru RUS,MF,Rostov,17,1,1.0,0,0,1,5
577,Luka Đorđević,me MNE,FW,Sochi,29,11,587.0,8,1,3,1
